date,nav,fund_name
2024-05-10,5342.7724,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-13,5346.0212,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-14,5347.522,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-15,5348.7106,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-16,5349.5038,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-17,5350.4153,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-21,5355.2502,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-22,5356.3608,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-24,5358.5147,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-27,5361.4316,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-28,5362.1042,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-29,5363.2902,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-30,5364.7137,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-05-31,5365.8097,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-03,5369.1209,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-04,5369.0379,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-05,5369.9555,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-06,5371.2112,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-07,5372.2291,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-10,5375.5307,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-11,5377.1007,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-12,5378.4232,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-13,5379.5388,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-14,5380.5567,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-18,5384.8341,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-19,5386.0054,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-20,5387.3667,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-21,5388.5437,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-24,5391.5451,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-25,5392.2884,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-26,5392.8702,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-27,5393.747,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-06-28,5395.8631,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-01,5399.8431,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-02,5402.0965,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-03,5403.6893,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-04,5404.8862,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-05,5405.9933,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-08,5408.9972,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-09,5410.0477,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-10,5411.1036,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-11,5412.4014,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-12,5413.3353,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-15,5416.6718,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-16,5417.6751,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-18,5419.9047,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-19,5421.0041,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-22,5424.1728,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-23,5425.4758,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-24,5426.637,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-25,5427.5873,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-26,5428.5956,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-29,5431.7904,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-30,5432.772,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-07-31,5433.6933,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-01,5434.8589,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-02,5435.8684,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-05,5439.0651,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-06,5439.9349,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-07,5441.0345,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-08,5441.9641,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-09,5442.9315,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-12,5445.8783,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-13,5446.294,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-14,5447.357,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-16,5449.5862,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-19,5452.8782,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-20,5454.3508,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-21,5455.8625,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-22,5457.1012,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-23,5458.18,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-26,5461.0959,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-27,5461.7292,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-28,5462.7689,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-29,5463.5324,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-08-30,5464.4471,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-02,5467.6346,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-03,5468.8173,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-04,5469.7871,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-05,5470.9194,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-06,5471.7431,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-09,5475.0575,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
